is_closed,age_of_account,badge_score,posts_with_negative_scores,post_score,accepted_answer_score,comment_score,number_of_urls,number_of_stackoverflow_urls,title_length,body_length,number_of_tags,number_of_short_words
0.0,1458932590111,7.0,0,5,0,0,0,0,33,385,4,35
0.0,1458902069291,9.919934640522875,0,44,90,4,0,0,74,476,2,36
0.0,1458858949042,6.5,1,-6,0,0,0,0,41,880,2,32
0.0,1458874322650,4.0,2,-5,0,0,0,0,88,381,3,35
0.0,1458819547067,12.5,2,-5,15,1,0,0,69,699,4,75
0.0,1458849606729,4.0,2,-3,0,0,0,0,74,2757,5,137
0.0,1458818890316,0,1,-2,0,0,0,0,26,415,5,19
0.0,1458896660783,28.45,0,95,15,4,0,0,37,1094,5,30
0.0,1458896031291,8.75,1,5,0,0,0,0,52,711,3,54
0.0,1458823068380,8.0,2,1,0,0,0,0,21,2383,4,83
0.0,1458823961563,7.0,2,2,15,3,0,0,40,344,2,29
0.0,1458854857814,12.0,0,30,75,0,0,0,51,274,2,9
0.0,1458873059824,5.0,1,0,15,0,0,0,67,446,3,19
0.0,1458836426573,6.0,0,3,0,0,0,0,47,2041,3,86
0.0,1458887315127,17.03040293040293,4,33,15,1,0,0,79,220,2,19
0.0,1458889322680,25.444444444444443,3,75,135,0,0,0,46,1450,4,64
0.0,1458825154050,2.0,0,0,0,0,0,0,44,802,3,54
0.0,1458814083570,2.0,0,6,0,0,1,0,42,1637,4,60
0.0,1458913723020,6.333333333333333,0,8,0,2,0,0,63,536,3,44
0.0,1458823014923,2.0,0,0,0,0,1,0,65,512,2,10
1.0,1458904076751,20.833333333333332,1,85,60,1,0,0,36,2388,5,59
1.0,1458828008268,5.0,0,1,0,0,1,0,58,2973,1,124
1.0,1458842316365,14.239999999999998,4,8,285,0,2,0,23,3323,4,78
1.0,1458912764804,18.583333333333336,1,74,180,2,4,0,70,2277,5,146
1.0,1458832104548,12.7,3,21,15,0,0,0,47,158,2,7
1.0,1458827910530,2.0,1,1,0,0,0,0,27,356,5,13
1.0,1458883181385,7.0,0,18,0,0,1,0,51,575,5,37
1.0,1458814005662,3.0,0,4,0,0,0,0,71,977,4,39
1.0,1458903955630,6.0,0,8,0,0,0,0,28,558,3,38
1.0,1458823973906,2.0,0,2,0,0,0,0,57,836,3,40
1.0,1458863444571,11.0,1,9,150,1,0,0,50,377,2,19
1.0,1458941721042,21.684444444444445,0,62,150,4,0,0,54,1483,4,67
1.0,1458896622515,20.833333333333332,1,80,180,3,0,0,45,10444,2,177
1.0,1458947789255,17.0,0,50,75,4,0,0,75,410,3,14
1.0,1458983244585,15.128781004234725,0,238,75,2,0,0,30,320,2,22
1.0,1458827064227,4.0,0,1,0,0,0,0,20,308,1,12
1.0,1458936156752,11.333333333333332,0,30,30,1,1,0,59,953,3,36
1.0,1458927280330,25.924242424242426,3,86,150,5,0,0,36,1079,2,46
1.0,1458820410330,5.0,0,3,15,0,0,0,37,725,1,27
1.0,1458886157576,11.0,0,29,30,5,1,0,27,955,5,36
